n,Real,User,Sys
1,0.203,0.242,0.036
1,0.229,0.365,0.041
1,0.24,0.377,0.038
1,0.253,0.395,0.045
1,0.295,0.456,0.053
1,0.277,0.413,0.044
1,0.271,0.404,0.049
1,0.266,0.417,0.043
1,0.287,0.43,0.046
1,0.276,0.449,0.047
1001,0.282,0.483,0.047
1001,0.307,0.46,0.043
1001,0.33,0.451,0.042
1001,0.312,0.501,0.051
1001,0.305,0.488,0.048
1001,0.336,0.478,0.051
1001,0.345,0.505,0.045
1001,0.332,0.526,0.049
1001,0.321,0.482,0.054
1001,0.367,0.501,0.048
2001,0.364,0.556,0.053
2001,0.342,0.53,0.058
2001,0.356,0.498,0.049
2001,0.367,0.506,0.054
2001,0.364,0.54,0.058
2001,0.382,0.541,0.055
2001,0.382,0.539,0.051
2001,0.376,0.568,0.058
2001,0.382,0.552,0.054
2001,0.408,0.543,0.054
3001,0.395,0.587,0.055
3001,0.395,0.609,0.056
3001,0.425,0.603,0.062
3001,0.424,0.6,0.058
3001,0.427,0.608,0.059
3001,0.449,0.624,0.057
3001,0.43,0.689,0.059
3001,0.424,0.631,0.061
3001,0.513,0.643,0.061
3001,0.435,0.69,0.072
4001,0.453,0.644,0.061
4001,0.502,0.647,0.067
4001,0.438,0.741,0.065
4001,0.485,0.689,0.059
4001,0.505,0.726,0.067
4001,0.491,0.722,0.071
4001,0.479,0.686,0.069
4001,0.513,0.713,0.068
4001,0.491,0.741,0.076
4001,0.522,0.675,0.069
5001,0.544,0.73,0.07
5001,0.533,0.772,0.068
5001,0.632,0.749,0.072
5001,0.591,0.854,0.086
5001,0.589,0.811,0.081
5001,0.55,0.823,0.077
5001,0.605,0.824,0.074
5001,0.585,0.818,0.078
5001,0.588,0.819,0.078
5001,0.614,0.875,0.08
6001,0.615,0.858,0.086
6001,0.603,0.865,0.08
6001,0.615,0.873,0.082
6001,0.632,0.91,0.07
6001,0.621,0.894,0.085
6001,0.623,0.933,0.073
6001,0.645,0.825,0.084
6001,0.648,0.917,0.082
6001,0.666,0.9,0.08
6001,0.633,0.917,0.08
7001,0.698,0.926,0.079
7001,0.693,0.996,0.087
7001,0.697,0.926,0.089
7001,0.684,0.921,0.081
7001,0.684,0.944,0.087
7001,0.675,0.915,0.08
7001,0.7,0.981,0.084
7001,0.724,0.967,0.088
7001,0.738,0.979,0.097
7001,0.714,0.954,0.087
8001,0.75,0.98,0.093
8001,0.705,0.975,0.086
8001,0.742,0.967,0.09
8001,0.727,0.968,0.086
8001,0.762,0.988,0.092
8001,0.754,1.025,0.093
8001,0.776,1.016,0.092
8001,0.797,1.044,0.098
8001,0.875,1.105,0.097
8001,0.809,1.097,0.102
9001,0.798,1.102,0.096
9001,0.775,1.03,0.097
9001,0.841,1.028,0.103
9001,0.838,1.091,0.1
9001,0.91,1.08,0.107
9001,0.863,1.194,0.118
9001,0.86,1.13,0.112
9001,0.838,1.088,0.108
9001,0.903,1.056,0.109
9001,0.857,1.136,0.113
10000,0.931,1.075,0.112
10000,0.85,1.177,0.115
10000,0.91,1.071,0.11
10000,0.853,1.178,0.112
10000,0.889,1.108,0.111
10000,0.875,1.121,0.107
10000,0.931,1.112,0.114
10000,0.869,1.173,0.122
10000,0.937,1.135,0.111
10000,0.894,1.198,0.123
